ref,addr:street,addr:housenumber,name,operator,ref:vatin,addr:postcode,addr:city,start_date
125,Corso Orbassano,249,Comunale 1 - Afc,,IT09971950010,10137,Torino,2010-01-09
126,Corso Sebastopoli,272,Comunale 9 - Afc,,IT09971950010,10136,Torino,2010-01-09
127,Via Filadelfia,142,Comunale 36 - Afc,,IT01131720011,10137,Torino,2013-01-03
128,Via Buenos Aires,77,Dell'Orso,,IT09967530016,10137,Torino,2013-01-03
129,Via San Marino,37,Amici Snc,Amici Paola e Luca,IT00936010016,10134,Torino,2005-01-01
130,Corso Agnelli,56,Comunale 37 - Afc,,IT07019070015,10137,Torino,2005-01-01
131,Corso Orbassano,216,Rognone,,IT00414760017,10137,Torino,2005-01-01
132,Via Tripoli,15/A,Madonna Dell'Aiuto,,IT02584250019,10136,Torino,2005-01-01
133,Corso Siracusa,87,Farmacia Cornelio,Dottor Cornelio Filippo & C. S.N.C.,IT10831600019,10137,Torino,2019-01-01
134,Via Barletta,84/F,Del Borgo,U.W.S. Sas;giaccone Mario,IT10289910019,10136,Torino,2010-01-10
136,Via Gorizia,133,Althea Snc,dottoressa Brussino Daniela,IT11289780014,10137,Torino,2017-01-07
137,Corso Sebastopoli,202/B,Farmacia Minati S.R.L.,,IT12149280013,10136,Torino,2019-01-09
138,Via Barletta,93,Giaccone,Braccio Snc;dr.Ssa Fassio Claudia e C.,IT09595260010,10136,Torino,2013-01-03
139,Corso Agnelli,117,Roagna Snc,dottoresse Suria M. e Roagna M. C.,IT07707620014,10134,Torino,2008-01-07
140,Via Tripoli,58,Moderna,Eurofarmacia Sas;dott. Torgani Roberto,IT09559770012,10136,Torino,2010-01-09
141,Via San Marino,69,Beato Angelico,Gruppo F.Cie Popolari  Subalpine Sas;crepaldi E.,IT03170560019,10137,Torino,2005-01-01
142,Via Guido Reni,155/157,Comunale 23 - Afc,,IT00582490017,10137,Torino,2007-01-04
143,Via Cimabue,8,Comunale 35 - Afc,,IT01131200014,10137,Torino,2007-01-04
144,Piazza Omero,16,Santi Cosma E Damiano,Rosenkrantz Federica Maria,IT11286230013,10137,Torino,2017-01-07
145,Corso Sebastopoli,298,Santa Silvia Snc,Dottori Luisella e Paolo Cagno,IT09964280011,10136,Torino,2010-01-09
146,Via Guido Reni 109/A,,Filadelfia Dott.Santomartino,,IT10053630017,10137,Torino,2013-01-03
147,Piazza Dante Livio Bianco,10,San Giorgio,,IT05467360011,10137,Torino,2005-01-01
148,Corso Orbassano,302,Europa,Mondino dottoressa Paola,IT11623330013,10125,Torino,2017-01-07
149,Via Sanremo,37,Mirafiori Snc,Cellura dottor G. & C.,IT07444800010,10137,Torino,2008-01-01
150,Corso Cosenza,39,Farmacia Cosenza,Farmacia Centrale S.R.L.,IT09734300016,10137,Torino,2018-01-11
151,Piazza Pitagora,9,Farmacia Pitagora S.N.C.,Dottoresse Daniela Bonicelli e Laura Ramassotto,IT07729130018,10137,Torino,2019-01-07
152,Corso Siracusa,98,Corso Siracusa,,IT08053820018,10137,Torino,2008-01-01
153,Via Rieti,55,Comunale 5 - Afc,,IT09971950010,10142,Torino,2010-01-09
154,Corso Trapani,150,Comunale 7 - Afc,,IT09971950010,10141,Torino,2010-01-09
155,Piazza Rivoli,11,Baima,Baima Poma Elena Maria & C. Snc,IT09950530015,10139,Torino,2015-01-05
156,Via Vandalino,9/11,Comunale 38 - Afc,,IT00529840019,10141,Torino,2007-01-04
157,Corso Peschiera,295,Peschiera,Valori Giuseppe,IT08763380014,10141,Torino,2016-01-07
158,Via Monginevro,126,Sburlati Emanuela,,IT08753390015,10141,Torino,2010-01-09
159,Via Monginevro,245,Borgata Lesna Sas,dottoressa Visconti Manuela e C.,IT10841570012,10142,Torino,2017-01-07
160,Via Monginevro,178,Monginevro,,IT04974530018,10141,Torino,2005-01-01
161,Via S. M. Mazzarello,18/D,Villa Giusti,Allini Eredi,IT06715200017,10142,Torino,2010-01-09
162,Corso Francia,175,Corso Francia,,IT05917190018,10139,Torino,2005-01-01
163,Via Asiago,35,Gancia Dimitri,,IT10843570010,10142,Torino,2017-01-07
164,Corso Francia,385,Donato,Donato Giulia e C. Snc,IT06575730012,10142,Torino,2005-01-01
165,Via Bardonecchia,114,San Benedetto,Dalmasso dottor Luca,IT11567230013,10139,Torino,2017-01-07
166,Corso Francia,273,Pozzo Strada Snc,dottoresse Gozzelino Grazia Maria e Bianco Loreda,IT09007200018,10139,Torino,2010-01-09
167,Piazza Massaua,1,Piazza Massaua Snc,,IT08760910011,10141,Torino,2017-01-09
168,Corso Brunelleschi,75/C,Brunelleschi,,IT07387670016,10141,Torino,2005-01-01
169,Via Franceso De Sanctis,60,Parini Snc,,IT07873340017,10142,Torino,2010-01-09
170,Via Frejus,97/A,San Giovanni Sas,dottoressa Maria Edvige Mai & C.,IT08476620011,10139,Torino,2013-01-03
171,Via San Donato,9,F.Cia Borelli,Rinaudo E.,IT00510810013,10144,Torino,2017-01-02
172,Corso R. Margherita,218/BIS,Monge,,IT00510950017,10144,Torino,2005-01-01
173,Via Luigi Cibrario,33/BIS,Santa Zita Sacchi,,IT08608970011,10143,Torino,2010-01-09
174,Corso Regina Margherita,256,Bonanno,,IT10153910012,10144,Torino,2011-01-11
175,Via Luigi Cibrario,88,Crida,Ferro dottoressa Maria Gemma,IT10465660016,10143,Torino,2011-01-03
176,Via Nicola Fabrizi,11,Scotti Sas,dottor Scotti Luca & C.,IT10372060011,10143,Torino,2011-01-01
177,Via Cibrario,72,Comunale 44 - Afc,,IT00529840019,10144,Torino,2007-01-04
178,Corso Alessandro Tassoni,66/D,Sant'Alfonso,Gambino dottor Francesca,IT10841120016,10144,Torino,2019-01-07
179,Corso Svizzera,42,Stroppiana,dottoresse Velca e Carla Snc,IT06672810014,10143,Torino,2005-01-01
180,Via Pietro Piffetti,31/BIS,Manenti,,IT07208500012,10143,Torino,2005-01-01
181,Via San Donato,55,San Donato,,IT02810710018,10144,Torino,2005-01-01
182,Via Nicola Fabrizi,102,Farmacia Santa Marta Sas,dottoressa Morigi Adriana e C.,IT11623340012,10145,Torino,2017-01-07
183,Via Asinari Vittorio Di Bernezzo,134,Comunale 10 - Afc,,IT01117100014,10146,Torino,2007-01-04
184,Corso Lecce,31,Rinetti,,IT08440620014,10145,Torino,2005-01-01
185,Piazza Tommaso Campanella,9,Castaldi,,IT10248430018,10146,Torino,2015-01-02
186,Via Capelli,47,Comunale 22 - Afc,,IT05331560010,10146,Torino,2007-01-04
187,Via Bellardi,3,Comunale 24 - Afc,,IT06687440013,10146,Torino,2007-01-04
188,Via Valentino Carrera,88,Lucente,,IT00547110015,10146,Torino,2005-01-01
189,Corso Francia,212,Farmacia Tesoriera S.R.L.,,IT12073470010,10146,Torino,2019-01-06
190,Via Michele Lessona,29,Serravalle Eredi,,IT11493020017,10145,Torino,2016-01-05
191,Via Carlo Capelli,67/C,Farmacia Parella Srl,,IT10465250016,10146,Torino,2018-01-02
192,Corso Monte Grappa,55,Montegrappa Snc,dottorI Panizza Franco e Caccamo Giulia,IT10455750017,10146,Torino,2016-01-05
193,Via Pietro Cossa,106,Pietro Cossa Snc,Verzini Laura e C.,IT09360430012,10146,Torino,2010-01-09
194,Via Slaaper,25/BIS,Comunale 2 - Afc,,IT09971950010,10149,Torino,2009-01-05
195,Via Isernia,13/B,Comunale 33 - Afc,,IT09971950010,10151,Torino,2010-01-08
196,Via delle Verbene,11,Piccardo,,IT05985080018,10151,Torino,2005-01-01
197,Viale dei Mughetti,9/F,Delle Vallette Snc,,IT09148460018,10151,Torino,2010-01-09
198,Largo Toscana,50,Igea,Gozeni M. e C. Snc,IT06374520010,10149,Torino,2005-01-01
199,Corso Toscana,107,Piemonte Sas,Cerrato Anna Maria & C.,IT06571150017,10149,Torino,2013-01-03
200,Via Oglianico,4,Lucento,Operti dottor G. & C. Snc,IT06575400012,10149,Torino,2008-01-01
201,Via Giosue` Borsi,114,Santa Teresa Snc,dottor Claudio e Silvia Gagliasso,IT11573610018,10149,Torino,2017-01-07
202,Viale dei Mughetti,1,Minerva Sas,dottor Tealdi Marco  & C.,IT07513330014,10151,Torino,2013-01-04
203,Corso Toscana,185/A,Sansovino,Nicosia dottor Alessandro,IT11036760012,10151,Torino,2017-01-07
204,Via Foligno,69,Farmacia Piazza Villari,,IT09253640016,10149,Torino,2017-01-12
205,Piazza Stampalia,7,Comunale 11 - Afc,,IT09971950010,10148,Torino,2010-01-09
206,Via Borgaro,58,Sardi,,IT01760230019,10149,Torino,2005-01-01
207,Corso Grosseto,221,Corso Grosseto,,IT04339700017,10147,Torino,2005-01-01
208,Via Stradella,198,Annunziata,Gillone Maria Giacinta,IT10950650019,10147,Torino,2017-01-07
209,Via Bernardino Luini,34,Calvo,,IT05026610013,10149,Torino,2013-01-04
210,Corso Toscana,20,Toscana Snc,"dottoresse Fischi Luisa, Aragno Barbara e C.",IT11300560015,10149,Torino,2017-01-07
211,Corso Grosseto,256,Madonna,Campagna;ferraris Lorenzo e C. Snc,IT06573590012,10148,Torino,2013-01-04
212,Corso Grosseto,216/C,Del Mercato,Bosio Giovanni e C. Snc,IT06948210015,10148,Torino,2005-01-01
213,Corso Potenza,92,Vela Sas,Rossetti Giovanni & C.,IT09974200017,10149,Torino,2010-01-09
214,Via Cardinale Guglielmo Massaia,45,Garelli Snc,"dottori Garelli Federico, Fiammetta, Mario e Michela G",IT07906530014,10147,Torino,2013-01-04
215,Via Michele Berrino,6,Farmacia San Paolo Sas,Federica Bertotti & C.,IT10179830012,10148,Torino,2017-01-05
216,Via Gaetano Mosca,1,Farmacia Prof. Cavanna S.N.C.,Dottoresse Francone Nada e Patrizia e C.,IT10190610013,10147,Torino,2017-01-07
217,Via Vibo`,17/B,Comunale 19 - Afc,,IT05424800018,10147,Torino,2007-01-04
218,Via Orvieto,10/A,Comunale 29 - Afc,,IT01933140012,10149,Torino,2013-01-04
219,Piazza della Vittoria,29,Madonna,Salute;vittoria Snc;dr.E Franze' R. e Franco C.,IT10236870019,10147,Torino,2015-01-02
220,Via stradella,36,Farmacia Stradella Srl,,IT11338650010,10147,Torino,2019-01-12
221,Via Chiesa della Salute,105,Chierici Snc,dottorI Chierici Silvia e Gian Mario,IT10589530012,10147,Torino,2017-01-07
222,Corso Grosseto,66,Farmacia Santa Elisabetta,,IT11681090012,10148,Torino,2017-01-09
223,Via Chiesa della Salute,64,Borgo Vittoria Snc,dottori Giulia e Luigi Stano,IT08056600011,10147,Torino,2008-01-01
224,Corso Grosseto,165,San Rocco Dr. Arese Gianpiero,,IT11324150017,10147,Torino,2017-01-07
225,Via Pietro Cossa,280,Regina Margherita,,IT05346970014,10151,Torino,2005-01-01
226,Via Breglio,16,Breglio,Barone Omar,IT09932400014,10147,Torino,2010-01-09
227,Via Borgaro,103,Santa Chiara,,IT11565600019,10147,Torino,2017-01-07
228,Via Bologna,21,De Angeli,,IT09826310014,10152,Torino,2014-01-12
229,Corso Regina Margherita,134,Palatina,dottor Meda Maurilio,IT09639940015,10153,Torino,2017-01-07
230,Via Reggio,1,Borgo Rossini,Balbi Aldo Tognacca,IT07875100013,10153,Torino,2008-01-01
231,Via Cigna,118,Farmacia Dora,Ratto Alessandro,IT11623320014,10155,Torino,2017-01-07
232,Piazza della Repubblica,21,Porta Palazzo Sas,dottor Illengo Carlo e C.,IT10534590012,10152,Torino,2011-01-09
233,Corso Regina Margherita,114,Santa Giustina,,IT07266050017,10152,Torino,2010-01-09
234,Corso Giulio Cesare,48,Dutto Snc,dottor Michele Roagna e C.,IT07729110010,10152,Torino,2009-01-05
235,Corso Regio Parco,38,Dei Fiori Snc,"dottori Lantelme Faisan, Bonello e Giori",IT07970900010,10153,Torino,2013-01-04
236,Via Francesco Cigna,53,Cigna Sas Dela Dr.Ssa Bellone Giada & C.,,IT09373120014,10152,Torino,2010-01-09
237,Corso Principe Oddone,28,Farmacia Dell'Ausiliatrice,Marco Ambrois & C. S.N.C.,IT08379260014,10152,Torino,2019-01-04
238,Corso Giulio Cesare,24,Aurora Snc,dottoresse Paola Bevilacqua Ed Elena Faraldi,IT08407390015,10152,Torino,2010-01-10
239,Via Francesco Cigna,44,Don Bosco,,IT05266490019,10152,Torino,2005-01-01
240,Via Oropa,69,Comunale 4 - Afc,,IT09971950010,10153,Torino,2010-01-09
241,Corso Brianza,22,Marinello,Magistra Sas;dr. Marinello Stefano & C.,IT09731670015,10153,Torino,2015-01-02
242,Corso Belgio,151/B,Comunale 21- Afc,,IT07151360018,10153,Torino,2007-01-04
243,Corso Regina Margherita,66/BIS,Corso Regina,Farmacia Santa Maria Snc;garelli Michela G. e Mario,IT09413940017,10153,Torino,2017-01-07
244,Via Vanchiglia,29/A,Nazionale,dottori Barbara e Alberto Truffelli Snc,IT07478190015,10124,Torino,2007-01-09
245,Corso San Maurizio,35,Della Mole,Farmacia Maria Cristina Sas;dr. Pautasso Renato e C.,IT10313740010,10124,Torino,2017-01-07
246,Corso Belgio,41,Squillario,,IT11221480012,10153,Torino,2017-01-07
247,Via Santa Giulia,38,Santa Giulia,Serra dottor G. e C. Snc,IT07288040012,10124,Torino,2007-01-04
248,Corso Belgio,180,Caruso,Marinelli Alfredo,IT06960440011,10153,Torino,2015-01-02
249,Corso S. Maurizio,67,Porinelli,,IT08100460016,10124,Torino,2005-01-01
250,Corso Giulio Cesare,158,Monterosa Snc,Emaldi Vistoli Antonia e Zanini Elisa,IT09286970018,10154,Torino,2008-01-01
251,Piazza Ottorino Respighi,3,Delle Maddalene Snc,"Sergio, Emanuela e Gianluca Pettazzi",IT09249690018,10154,Torino,2010-01-10
252,Via Brandizzo,90,Granero Snc,"dottorI Granero Luciano, Laura e Paola",IT08759940011,10154,Torino,2008-01-01
253,Corso Vercelli,111,Cervino,,IT00246650014,10155,Torino,2005-01-01
254,Largo Sempione,186/C,Gottardo Sas,,IT10289920018,10155,Torino,2010-01-08
255,Via Pier Luigi Palestrina,49,Robino,,IT05483990015,10155,Torino,2005-01-01
256,Piazza Crispi,60,Farmacia Gli Speziali,Fedeli S.A.S.,IT09582410016,10154,Torino,2018-01-06
257,Corso Palermo,119,Madonna,Pace S.A.S.;dr. Bollo Vittorio & C.,IT10421300012,10154,Torino,2011-01-03
258,Via Bologna,91/D,Omeopatica Dabbene,Dabbene dottor Paolo & C. - S.A.S.,IT06575380016,10154,Torino,2016-01-09
259,Via Crescentino,34,Calandra Snc,dottorI Giorgio e Mario Calandra,IT09489870015,10154,Torino,2010-01-09
260,Via Sempione,112,Farmacia Policlinico,dottor Giani Paolo & C. S.A.S.,IT08256660013,10155,Torino,2017-01-11
